DONOR PARTNER,INBOUND DATE,ITEMIZED LIST,UNITS RECEIVED,UNIT OF MEASURE,DATE REDISTRIBUTED,OUTBOUND RECIPIENT,ITEMIZED LIST.1,UNITS DISTRIBUTED,COMMENT,DONOR
,"March 9, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"May 8, 2024",Clinic 8,,38,,Regional Health Org
,"April 14, 2023","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,PACK,"May 3, 2023",Clinic 9,,27,,City Medical Center
,"September 9, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,CS.,"November 7, 2024",Clinic 10,,62,,General Hospital A
,"January 28, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"March 12, 2024",Clinic 6,,87,,General Hospital A
,"June 12, 2025",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"July 16, 2025",Clinic 2,,76,,General Hospital A
,"September 1, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"October 8, 2024",Clinic 3,,12,,General Hospital A
,"September 4, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,RL.,"October 18, 2024",Clinic 10,,103,,Regional Health Org
,"March 5, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"March 22, 2025",Clinic 2,,32,,Regional Health Org
,"August 3, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,PAIR,"October 2, 2025",Clinic 3,,66,,General Hospital A
,"September 30, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"November 20, 2024",Clinic 3,,7,,General Hospital A
,"September 20, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"November 18, 2023",Clinic 9,,98,,City Medical Center
,"October 16, 2025",GEHA OPEN SEASON TOOTHBRUSH 2022,,EA.,"October 30, 2025",Clinic 5,,74,,City Medical Center
,"January 22, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,RL.,"February 18, 2025",Clinic 8,,114,,City Medical Center
,"March 15, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"May 16, 2025",Clinic 3,,31,,General Hospital A
,"May 14, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"July 4, 2024",Clinic 9,,32,,City Medical Center
,"August 7, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"September 22, 2024",Clinic 2,,24,,Regional Health Org
,"October 11, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"November 8, 2023",Clinic 2,,32,,City Medical Center
,"May 15, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"July 8, 2024",Clinic 7,,37,,General Hospital A
,"November 27, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"January 18, 2024",Clinic 2,,27,,City Medical Center
,"June 23, 2023","SYRINGE  10ML LL STERILE BD LUER-LOK TIP SYRINGE, DISPOSABLE, PRECISIONGLIDE NEEDLE",,RL.,"August 1, 2023",Clinic 7,,46,,City Medical Center
,"October 4, 2024","SYRINGE  10ML LL STERILE BD LUER-LOK TIP SYRINGE, DISPOSABLE, PRECISIONGLIDE NEEDLE",,PAIR,"November 16, 2024",Clinic 2,,24,,General Hospital A
,"August 13, 2025",GEHA OPEN SEASON TOOTHBRUSH 2022,,CS.,"September 15, 2025",Clinic 5,,51,,Regional Health Org
,"September 27, 2023","SYRINGE  10ML LL STERILE BD LUER-LOK TIP SYRINGE, DISPOSABLE, PRECISIONGLIDE NEEDLE",,EA.,"October 9, 2023",Clinic 8,,34,,City Medical Center
,"June 16, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"August 2, 2023",Clinic 3,,14,,City Medical Center
,"November 23, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"December 6, 2024",Clinic 9,,25,,City Medical Center
,"February 8, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,RL.,"March 21, 2025",Clinic 5,,115,,City Medical Center
,"January 19, 2025","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,CS.,"March 13, 2025",Clinic 3,,14,,City Medical Center
,"February 21, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,BOX,"March 26, 2025",Clinic 6,,63,,Regional Health Org
,"January 26, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,BOX,"February 24, 2025",Clinic 3,,95,,Regional Health Org
,"April 4, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"May 7, 2024",Clinic 8,,26,,City Medical Center
,"September 12, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"October 30, 2023",Clinic 8,,35,,General Hospital A
,"March 12, 2025","SYRINGE  10ML LL STERILE BD LUER-LOK TIP SYRINGE, DISPOSABLE, PRECISIONGLIDE NEEDLE",,CS.,"May 9, 2025",Clinic 5,,29,,City Medical Center
,"November 27, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,RL.,"January 27, 2024",Clinic 6,,21,,General Hospital A
,"March 26, 2024",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,PACK,"April 19, 2024",Clinic 2,,16,,Regional Health Org
,"October 25, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"December 22, 2024",Clinic 3,,32,,General Hospital A
,"May 15, 2025",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PACK,"July 4, 2025",Clinic 10,,24,,General Hospital A
,"February 10, 2024",GEHA OPEN SEASON TOOTHBRUSH 2022,,CS.,"March 16, 2024",Clinic 4,,80,,City Medical Center
,"May 8, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PAIR,"June 18, 2024",Clinic 5,,30,,General Hospital A
,"August 11, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"September 15, 2025",Clinic 7,,40,,City Medical Center
,"March 2, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,BOX,"May 2, 2024",Clinic 2,,39,,City Medical Center
,"March 31, 2025",GEHA OPEN SEASON TOOTHBRUSH 2022,,BOX,"June 3, 2025",Clinic 10,,77,,General Hospital A
,"February 5, 2025",SYRINGE 60ML LL LATEX FREE CONFIGURE,,CS.,"March 9, 2025",Clinic 9,,32,,General Hospital A
,"October 23, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PACK,"November 15, 2024",Clinic 8,,86,,City Medical Center
,"September 24, 2023",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,EA.,"October 21, 2023",Clinic 7,,29,,Regional Health Org
,"February 27, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"April 14, 2025",Clinic 2,,46,,Regional Health Org
,"April 12, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,CS.,"April 25, 2023",Clinic 6,,116,,General Hospital A
,"January 1, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,BOX,"January 17, 2023",Clinic 8,,10,,General Hospital A
,"January 9, 2023",SYRINGE 60ML LL LATEX FREE CONFIGURE,,PAIR,"January 24, 2023",Clinic 3,,47,,City Medical Center
,"April 17, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,EA.,"May 26, 2024",Clinic 9,,94,,General Hospital A
,"July 26, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,EA.,"August 26, 2024",Clinic 6,,53,,General Hospital A
,"July 15, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"September 8, 2024",Clinic 3,,42,,Regional Health Org
,"September 10, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"October 3, 2025",Clinic 9,,27,,Regional Health Org
,"August 29, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"October 15, 2023",Clinic 3,,32,,Regional Health Org
,"September 7, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"September 19, 2023",Clinic 5,,35,,Regional Health Org
,"April 26, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,CS.,"June 3, 2024",Clinic 6,,111,,General Hospital A
,"January 1, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"February 4, 2023",Clinic 3,,27,,Regional Health Org
,"April 10, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"May 20, 2024",Clinic 7,,42,,City Medical Center
,"October 7, 2023","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,CS.,"December 9, 2023",Clinic 9,,16,,General Hospital A
,"July 9, 2025",GEHA OPEN SEASON TOOTHBRUSH 2022,,PAIR,"August 21, 2025",Clinic 5,,39,,City Medical Center
,"August 18, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,PAIR,"September 27, 2023",Clinic 1,,90,,General Hospital A
,"December 1, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,PACK,"December 30, 2023",Clinic 10,,106,,Regional Health Org
,"July 18, 2023","SYRINGE  10ML LL STERILE BD LUER-LOK TIP SYRINGE, DISPOSABLE, PRECISIONGLIDE NEEDLE",,BOX,"September 9, 2023",Clinic 8,,44,,Regional Health Org
,"January 1, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PAIR,"January 9, 2023",Clinic 10,,85,,Regional Health Org
,"November 10, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"January 11, 2025",Clinic 8,,13,,Regional Health Org
,"July 16, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"August 5, 2023",Clinic 4,,92,,Regional Health Org
,"July 7, 2025",GEHA OPEN SEASON TOOTHBRUSH 2022,,CS.,"August 29, 2025",Clinic 3,,113,,General Hospital A
,"April 25, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PAIR,"May 22, 2025",Clinic 8,,28,,Regional Health Org
,"February 2, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PACK,"February 21, 2024",Clinic 2,,5,,City Medical Center
,"January 14, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,BOX,"March 11, 2023",Clinic 4,,51,,City Medical Center
,"June 18, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"July 23, 2025",Clinic 7,,16,,Regional Health Org
,"February 2, 2025",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,PACK,"March 21, 2025",Clinic 8,,46,,General Hospital A
,"April 5, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"May 15, 2024",Clinic 7,,32,,General Hospital A
,"August 6, 2024",GEHA OPEN SEASON TOOTHBRUSH 2022,,EA.,"August 21, 2024",Clinic 7,,36,,City Medical Center
,"January 1, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,RL.,"February 11, 2023",Clinic 7,,15,,General Hospital A
,"August 1, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,RL.,"August 25, 2024",Clinic 8,,22,,City Medical Center
,"July 22, 2025",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,BOX,"September 3, 2025",Clinic 5,,21,,Regional Health Org
,"March 16, 2025",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,RL.,"April 5, 2025",Clinic 5,,39,,City Medical Center
,"November 11, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,BOX,"December 7, 2023",Clinic 9,,45,,City Medical Center
,"April 14, 2025","SYRINGE  10ML LL STERILE BD LUER-LOK TIP SYRINGE, DISPOSABLE, PRECISIONGLIDE NEEDLE",,EA.,"April 25, 2025",Clinic 8,,18,,General Hospital A
,"June 29, 2025","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,EA.,"August 1, 2025",Clinic 2,,44,,General Hospital A
,"September 18, 2023",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"November 14, 2023",Clinic 2,,29,,General Hospital A
,"January 21, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"February 6, 2024",Clinic 9,,12,,General Hospital A
,"July 15, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"July 29, 2025",Clinic 9,,17,,General Hospital A
,"December 30, 2024",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,EA.,"February 28, 2025",Clinic 2,,40,,Regional Health Org
,"October 10, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"November 11, 2023",Clinic 3,,79,,City Medical Center
,"February 27, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,PAIR,"March 13, 2024",Clinic 10,,115,,Regional Health Org
,"April 7, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"May 9, 2025",Clinic 7,,37,,City Medical Center
,"April 28, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,EA.,"June 13, 2023",Clinic 2,,100,,General Hospital A
,"July 17, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,RL.,"August 1, 2023",Clinic 1,,112,,General Hospital A
,"May 25, 2025",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"July 14, 2025",Clinic 3,,36,,City Medical Center
,"February 7, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,BOX,"April 8, 2023",Clinic 2,,24,,General Hospital A
,"June 26, 2024",TOOTHPASTE - INDIVIDUALLY BOXED,,EA.,"July 8, 2024",Clinic 7,,108,,City Medical Center
,"December 26, 2024","NITRILE GLOVES, POWDER FREE, NON STERILE SIZE LARGE AMBIDEXTROUS ASST COLORS",,PACK,"February 7, 2025",Clinic 9,,31,,City Medical Center
,"July 5, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"August 12, 2025",Clinic 5,,32,,General Hospital A
,"November 14, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,BOX,"December 31, 2023",Clinic 1,,31,,City Medical Center
,"June 1, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"July 29, 2024",Clinic 7,,38,,City Medical Center
,"October 5, 2024",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"October 31, 2024",Clinic 4,,53,,Regional Health Org
,"April 13, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,PAIR,"June 16, 2024",Clinic 9,,19,,Regional Health Org
,"June 30, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"August 2, 2025",Clinic 3,,49,,City Medical Center
,"September 19, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"October 27, 2024",Clinic 8,,26,,Regional Health Org
,"March 20, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"May 14, 2024",Clinic 5,,51,,City Medical Center
,"February 18, 2025",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"April 10, 2025",Clinic 8,,16,,Regional Health Org
,"December 6, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,CS.,"December 19, 2024",Clinic 2,,48,,City Medical Center
,"March 23, 2024",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,BOX,"May 7, 2024",Clinic 2,,19,,City Medical Center
,"July 4, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"August 22, 2024",Clinic 3,,20,,Regional Health Org
,"May 22, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"July 1, 2024",Clinic 8,,7,,Regional Health Org
,"April 9, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,EA.,"April 25, 2023",Clinic 1,,95,,Regional Health Org
,"December 24, 2023",TOOTHPASTE - INDIVIDUALLY BOXED,,PAIR,"January 26, 2024",Clinic 8,,102,,General Hospital A
,"April 20, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"May 9, 2025",Clinic 5,,10,,City Medical Center
,"January 29, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,CS.,"March 19, 2023",Clinic 6,,61,,General Hospital A
,"September 18, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,PAIR,"October 24, 2023",Clinic 3,,53,,Regional Health Org
,"May 28, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"July 16, 2023",Clinic 5,,13,,General Hospital A
,"December 15, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,PACK,"February 10, 2025",Clinic 7,,41,,Regional Health Org
,"February 10, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"April 18, 2025",Clinic 9,,30,,Regional Health Org
,"June 22, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PACK,"July 30, 2024",Clinic 3,,11,,General Hospital A
,"December 21, 2023",PREP SOLUTION CHLORAPREP™ SCRUB TEAL™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL,,EA.,"February 5, 2024",Clinic 7,,11,,General Hospital A
,"December 5, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"January 29, 2024",Clinic 3,,21,,City Medical Center
,"November 6, 2024","SYRINGE  10ML LL STERILE BD LUER-LOK TIP SYRINGE, DISPOSABLE, PRECISIONGLIDE NEEDLE",,EA.,"January 5, 2025",Clinic 5,,21,,General Hospital A
,"August 28, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"November 1, 2023",Clinic 9,,38,,Regional Health Org
,"August 15, 2025",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,PAIR,"September 8, 2025",Clinic 3,,47,,City Medical Center
,"June 6, 2023",PREP SOLUTION CHLORAPREP™ CLEAR 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"June 18, 2023",Clinic 3,,22,,Regional Health Org
,"April 17, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,BOX,"May 27, 2024",Clinic 7,,32,,Regional Health Org
,"September 30, 2023",SAFETY NEEDLE 25G 5/8IN FLIPLOCK,,RL.,"October 25, 2023",Clinic 9,,36,,City Medical Center
,"January 1, 2023",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,EA.,"January 29, 2023",Clinic 10,,101,,City Medical Center
,"April 16, 2024","SYRINGE  10ML LL STERILE BD LUER-LOK TIP SYRINGE, DISPOSABLE, PRECISIONGLIDE NEEDLE",,RL.,"May 9, 2024",Clinic 7,,15,,General Hospital A
,"June 13, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,BOX,"August 13, 2024",Clinic 4,,60,,City Medical Center
,"December 11, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 1 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,CS.,"January 11, 2025",Clinic 7,,16,,General Hospital A
,"September 3, 2024",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,EA.,"October 16, 2024",Clinic 4,,64,,City Medical Center
,"February 13, 2025",LIGHTWEIGHT FABRIC FACE COVER NOT A MEDICAL MASK SINGLE USE,,CS.,"March 11, 2025",Clinic 6,,22,,City Medical Center
,"April 29, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,EA.,"May 27, 2024",Clinic 3,,38,,General Hospital A
,"June 19, 2024",PREP SOLUTION CHLORAPREP™ HI-LITE ORANGE™ 10.5 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"August 1, 2024",Clinic 2,,33,,City Medical Center
,"December 20, 2024",PREP SOLUTION CHLORAPREP™ CLEAR 3 ML APPLICATOR 2% / 70% STRENGTH CHG (CHLORHEXIDINE GLUCONATE) / ISOPROPYL ALCOHOL STERILE,,RL.,"February 5, 2025",Clinic 8,,38,,City Medical Center
,"December 11, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,CS.,"February 9, 2024",Clinic 3,,102,,General Hospital A
,"May 20, 2023",ALOE AND VITAMIN E CORNSTARCH POWDER 22OZ,,RL.,"June 18, 2023",Clinic 9,,87,,General Hospital A
,"November 17, 2023",GEHA OPEN SEASON TOOTHBRUSH 2022,,CS.,"January 14, 2024",Clinic 6,,52,,Regional Health Org
